,ddi,pfam,meff,pdb,dca_max,nb_contact
658,ddi_num_151,PF07728_PF12775,317.530032845678,"{'3j67', '3j68', '3vkg', '3vkh', '4akg', '4w8f', '4rh7', '5nug', '4akh', '4ai6', '4aki'}",0.195203781501819,384
659,ddi_num_117,PF00004_PF08542,315.756067944602,"{'1sxj', '2chq', '1iqp', '2chv'}",0.207300218310137,285
660,ddi_num_5055,PF01483_PF00082,314.911244813469,"{'3wqb', '4z2a', '3hjr', '2id4', '1p8j', '5jxi', '5jxj', '1r64', '5jmo', '5mim', '5jxh', '4omc', '1ot5', '4ryd', '5jxg', '4omd'}",0.163237432789028,773
662,ddi_num_6041,PF00515_PF13424,313.779399889776,"{'4gz6', '4xif', '5hgv', '3pe3', '4xi9', '3fwv', '4ui9', '3tax', '4gyy', '1w3b', '1elr', '5c1d', '5lcw', '3esk', '5g05', '4cdr', '4ay6', '5bnw', '5a31', '4gz3', '4n39', '3pe4', '2nc9', '4n3b', '4gz5', '4ay5', '4n3a', '4n3c', '5g04', '4gyw'}",0.726711969503582,381
663,ddi_num_4102,PF03404_PF00174,313.183834174373,"{'2c9x', '3hbg', '3hbp', '2a9d', '2blf', '1ogp', '4pw9', '1sox', '2a9a', '3r18', '2bpb', '2bii', '2a9b', '2bih', '3hbq', '2ca4', '2ca3', '4pw3', '3hc2', '3r19', '2a9c', '2xts', '5k3x', '2a99'}",0.30576116761895,832
664,ddi_num_1026,PF03099_PF10437,312.636312550104,"{'3a7r', '5idh', '5ij6', '3r07', '3a7a', '5icl', '1x2g', '1vqz', '5t8u', '4tvw', '5iby', '1x2h', '5ich', '4tvy'}",0.228050082297088,406
665,ddi_num_6089,PF09157_PF16198,312.161380592545,"{'1k8w', '1r3f', '1zl3'}",0.368240575384422,26
667,ddi_num_5957,PF14278_PF00440,311.372606592964,"{'3kkc', '4mk6'}",0.294509337309941,121
670,ddi_num_3017,PF08244_PF00251,310.112170769281,"{'3sc7', '3ugh', '5ann', '1y4w', '5fmc', '3pig', '4fff', '5fix', '4eqv', '1y9m', '5fkb', '3ugf', '3rwk', '5fmd', '5fmb', '1y9g', '5fkc', '4ffh', '4ffi', '5fk8', '3pij', '5fk7', '4ffg', '3ugg'}",0.580015162473749,229
671,ddi_num_1276,PF03150_PF00034,309.723924177576,"{'3o5c', '1rz6', '1nml', '2c1v', '4aao', '1zzh', '4aal', '1iqc', '3hq8', '4aan', '3hq9', '1eb7', '2vhd', '1rz5', '4aam', '2c1u', '3hq7', '3hq6'}",0.377674293231184,417
672,ddi_num_2679,PF02906_PF13510,307.54234396924,"{'5byr', '5la3', '4xdd', '4xdc', '5bys', '5byq'}",0.21935651130422,106
673,ddi_num_3677,PF01344_PF13418,306.73877299356,"{'4yy8', '4zgc'}",0.316246764672377,119
674,ddi_num_104,PF00004_PF02861,306.480979433162,"{'3j3r', '1qvr', '3j3s', '3pxg', '3j3t', '3j3u'}",0.250628612786396,163
675,ddi_num_710,PF08699_PF16488,306.435572793679,"{'4z4e', '4z4c', '4kxt', '4w5n', '5t7b', '4w5o', '4z4f', '4z4g', '5js1', '5ki6', '4z4h', '4w5t', '4f3t', '4kre', '4olb', '4z4d', '4w5r', '4ola', '4w5q', '4z4i', '5js2', '4krf'}",0.60816605977008,111
676,ddi_num_2005,PF01612_PF00570,306.289948178435,"{'2hbl', '3sah', '4nlc', '4oo1', '4nlb', '5k36', '2hbj', '5c0y', '2hbk', '3cym', '5c0w', '1yt3', '2hbm', '3sag', '3saf'}",0.260357493201498,88
677,ddi_num_414,PF01315_PF01799,305.603738830878,"{'1jro', '1rm6', '1zxi', '4usa', '2w3r', '4us9', '1vlb', '4ytz', '4c7z', '1t3q', '1jrp', '3etr', '4uhw', '3nvv', '3una', '1n60', '2ckj', '3fc4', '2w54', '3am9', '3an1', '3ns1', '3eub', '3ax7', '3l4p', '3sr6', '3ax9', '3hrd', '1fiq', '3nvy', '1sb3', '1n5x', '4yrw', '3uni', '4c80', '1n63', '4zoh', '3zyv', '2w3s', '3fah', '2e1q', '1vdv', '1dgj', '4ysw', '1sij', '1v97', '1wyg', '4uhx', '2w55', '4us8', '1n61', '3nrz', '5epg', '1n62', '4yty', '3amz', '3nvw', '2e3t', '3b9j'}",0.243041432393691,59
679,ddi_num_2615,PF13510_PF04879,304.689617864947,"{'3i9v', '3iam', '3ias', '3m9s', '2ybb', '4hea', '2fug'}",0.273561479580668,19
680,ddi_num_2769,PF01706_PF14841,304.213899464967,"{'3ajc', '4fhr', '3usw'}",0.23949909407848,54
681,ddi_num_5523,PF05000_PF04998,303.795490305744,"{'5m5y', '3s16', '2nvt', '5n60', '2ja8', '5iy8', '5nsr', '3how', '5c3e', '5x4z', '5c44', '4c3i', '4llg', '5n5y', '2a6e', '1r9t', '5iyb', '2yu9', '4lk0', '3s2d', '4a3f', '3s2h', '3s1r', '4wqt', '1k83', '3i4n', '3po3', '4v1o', '3gto', '5fja', '5iy6', '5x50', '5tmf', '5my1', '3s15', '5ipn', '4ylo', '4v1m', '3m3y', '3qt1', '3gtj', '3j1n', '3hoz', '4ylp', '1r5u', '1zyr', '5ip7', '5lmx', '3m4o', '4yln', '5iya', '3iyd', '4a3j', '5ipm', '4bbr', '3i4m', '1twh', '3cqz', '1y1v', '1i3q', '4x6a', '5ui8', '3k1f', '5u0s', '3gtl', '3rzd', '4y52', '5c4a', '2be5', '4xsz', '3hox', '1nik', '4jkr', '3j0k', '2a68', '3s14', '4c3j', '3h0g', '2b63', '2nvx', '2a69', '4zh4', '5c4j', '5u5q', '1smy', '1twf', '5g5l', '3gtm', '5ipl', '2e2h', '4zh2', '5iy7', '5x51', '3gtg', '1twg', '3s1n', '2b8k', '5fz5', '4a3l', '4a3g', '4xsx', '3fki', '2o5j', '3rzo', '5m3m', '1twa', '1iw7', '1i50', '1sfo', '3po2', '3gtq', '4x67', '1r9s', '3s1q', '2ppb', '3hou', '4wqs', '5m5w', '4y7n', '5fyw', '3hov', '5m3f', '5fj9', '4c3h', '4xsy', '5iy9', '3lu0', '5n5z', '1y1w', '2e2j', '3gtk', '5m5x', '5tbz', '1twc', '4g7o', '4bbs', '5n61', '5tmc', '3s17', '4a93', '2nvy', '2nvz', '4c2m', '2e2i', '5ip9', '4a3i', '5fj8', '1y77', '3eql', '3s1m', '4a3b', '5c4x', '3h3v', '2cw0', '4a3e', '5iyc', '4ljz', '5m64', '5byh', '5iyd', '4g7z', '4a3m', '5ms0', '3k7a', '4zh3', '3dxj', '2nvq', '4q4z', '2r7z', '4bxz', '5flm', '3gtp'}",0.208173461187204,856
682,ddi_num_2870,PF01590_PF00360,303.715585765618,"{'4q0j', '5llw', '3ibr', '3not', '3nop', '3g6o', '4gw9', '3nhq', '3c2w', '5hsq', '4s21', '5lly', '4o01', '4r6l', '5llx', '2vea', '5mg1', '5i5l', '5akp', '4our', '4o0p', '3nou', '3zq5', '4r70', '5c5k'}",0.207683692229589,703
683,ddi_num_184,PF00664_PF03412,303.620969375325,{'4ry2'},0.127438652033474,125
684,ddi_num_2971,PF00042_PF00175,303.549385593217,"{'3ozw', '3ozu', '1cqx', '3ozv'}",0.196480572375066,79
685,ddi_num_884,PF02607_PF02965,303.453380915635,"{'3iv9', '1k98', '3bul', '1k7y', '3iva'}",0.209185839785721,144
686,ddi_num_6044,PF00515_PF07719,302.899070256363,"{'1p5q', '1w3b', '1qz2'}",0.511756813126819,158
687,ddi_num_2292,PF13202_PF13833,302.888287601786,"{'1nx1', '4phj', '1alw', '4phk', '4phn', '1nx2', '1kfu', '1f4q', '1k94', '4nsc', '1alv', '4anj', '1kfx', '1nx0', '1f4o', '1s36'}",0.292802188294505,95
688,ddi_num_3562,PF01450_PF07991,301.8153653787,"{'4xiy', '4xdz', '4kqx', '4xdy', '1yve', '1np3', '4xeh', '3fr8', '1qmg', '3ulk', '3fr7', '1yrl', '4tsk', '4kqw', '4ypo', '5e4r'}",0.676197911344562,619
689,ddi_num_1575,PF03450_PF01799,301.7525351768,"{'3hrd', '5g5h', '5g5g'}",0.306122348662632,24
690,ddi_num_712,PF08699_PF02170,300.469501764078,"{'4z4e', '4z4c', '4kxt', '4w5n', '5t7b', '4w5o', '4z4f', '4z4g', '5ki6', '5js1', '4z4h', '4w5t', '4f3t', '4kre', '4olb', '4z4d', '4w5r', '4ola', '4w5q', '4z4i', '5js2', '4krf'}",0.250708232454768,182
691,ddi_num_4021,PF00149_PF12320,299.930525343648,"{'4lty', '4lu9', '4m0v'}",0.161500771842476,78
692,ddi_num_1117,PF00168_PF00388,299.889045138752,"{'1dji', '1djy', '1djg', '1djw', '1djz', '1djx', '1djh', '2isd'}",0.198259643765687,36
693,ddi_num_3214,PF01966_PF13286,299.83277300474,{'2dqb'},0.266355551387016,248
694,ddi_num_550,PF12894_PF00400,299.793807716494,"{'5a1x', '5nzu', '5gxh', '1pev', '4bh6', '5tee', '5nzt', '4ui9', '3ewe', '5nzv', '4ggc', '5h1l', '4aez', '5nzr', '5gxi', '5h1m', '4n14', '5h3s', '5h1k', '5a31', '1nr0', '4ggd', '5a1v', '5h3u', '4gga', '1sq9', '5naf', '5h1j', '5tef', '5g04', '5gva'}",0.226577343693112,402
695,ddi_num_851,PF03472_PF00196,299.685735604938,"{'3qp5', '1l3l', '4y15', '1h0m', '4y17'}",0.181989130961845,468
696,ddi_num_3023,PF01074_PF07748,299.587577130507,"{'2f7q', '1o7d', '2ow7', '1tqs', '2f7r', '2fyv', '3czs', '2f18', '2wyh', '3bvv', '1hty', '5kbp', '1qx1', '3d52', '3ejt', '3d50', '3d4z', '3bub', '1r34', '2wyi', '3bup', '2f7o', '3bui', '3dx3', '3eju', '3czn', '3bvw', '1tqu', '3bvx', '1qwu', '3bud', '3d4y', '2alw', '1ps3', '2f7p', '1hxk', '2f1a', '1tqw', '2f1b', '1tqt', '1hww', '3bvt', '1tqv', '3dx0', '3lvt', '3dx4', '3ddf', '3ejp', '3dx2', '1qwn', '3cv5', '3dx1', '3ddg', '3bvu', '3blb', '3ejq', '3buq', '3d51', '2ow6'}",0.132620614863166,752
697,ddi_num_365,PF13602_PF08659,298.602884757165,{'3slk'},0.167774028943025,42
698,ddi_num_3061,PF00958_PF02540,298.206020167398,{'3uow'},0.224777823136117,72
699,ddi_num_3055,PF04101_PF06925,297.564562245921,"{'4x1t', '4wyi'}",0.225949779329811,56
700,ddi_num_6218,PF09363_PF09364,297.414368790315,"{'3ahh', '3ahd', '3ai7', '3ahc', '3ahj', '3ahe', '3ahi', '3ahg', '3ahf'}",0.262249199710809,210
701,ddi_num_2053,PF08148_PF00271,297.116572600536,"{'5dzr', '4xgt', '4u4c', '4qu4', '4a4z', '5e02', '2xgj'}",0.260193404288553,132
702,ddi_num_1154,PF01067_PF00648,296.995393228217,"{'3bow', '1qxp', '3df0', '1df0', '1kfu', '1u5i', '1kfx'}",0.139204604856838,535
703,ddi_num_4011,PF00149_PF14008,295.700537892415,"{'4kbp', '1xzw', '4dhl', '3zk4', '1kbp', '4dsy', '3kbp', '2qfp', '2qfr', '4kkz', '4dt2'}",0.198871387793055,754
704,ddi_num_4828,PF01625_PF01641,295.33976761565,"{'5fa9', '3e0m'}",0.197707220069276,460
705,ddi_num_4789,PF00069_PF00433,293.986500086324,"{'3qkl', '4yve', '4yvc', '3ncz', '3cqw', '2x39', '3qkm', '3e88', '1o6l', '5lih', '4ekk', '5bml', '3ndm', '4oth', '4oti', '2v55', '3a8w', '2jed', '2xh5', '4dc2', '3ow4', '3e8d', '4ekl', '5f9e', '4q9z', '4gv1', '5hvu', '4l43', '3mvh', '5li1', '3txo', '5kkt', '3mv5', '3ocb', '5kks', '5li9', '2uw9', '3a8x', '3d0e', '2jdr', '3e87', '4otd', '4w7p', '4l45', '3qkk', '4ra5', '4crs'}",0.179976527243726,820
706,ddi_num_3446,PF05378_PF02538,292.890172862562,{'5l9w'},0.201628297330332,279
707,ddi_num_4041,PF01189_PF13636,292.880657451518,{'2frx'},0.344486857585922,25
709,ddi_num_4378,PF07662_PF01773,292.610428392467,"{'5u9w', '5l27', '5l24', '3tij', '4pd6', '4pd8', '4pd7', '5l2a', '4pb2', '4pd5', '5l2b', '4pd9', '5l26', '4pb1', '4pda'}",0.53222595308516,535
710,ddi_num_4394,PF07963_PF00114,291.578210678211,{'5kua'},0.264734988582638,231
711,ddi_num_5505,PF00623_PF04998,291.278156871275,"{'5m5y', '3s16', '2nvt', '2ja8', '5iy8', '5nsr', '2r92', '3how', '5c3e', '5c44', '4llg', '4c3i', '2a6e', '1r9t', '5iyb', '4lk0', '3s2d', '2yu9', '4a3f', '3s2h', '3s1r', '4wqt', '1k83', '3i4n', '4v1o', '3gto', '5x50', '5tmf', '3s15', '4ylo', '5ipn', '4v1m', '3m3y', '3qt1', '5fmf', '3j1n', '4ylp', '1zyr', '5ip7', '3m4o', '4yln', '3iyd', '3hoy', '4a3j', '5sva', '2pmz', '5ipm', '4bbr', '3i4m', '1twh', '3cqz', '1i3q', '4x6a', '3k1f', '3gtl', '5u0s', '5c4a', '2be5', '5ui8', '4y52', '3rzd', '4xsz', '2y0s', '1nik', '4jkr', '2a68', '3s14', '4c3j', '3h0g', '2nvx', '2a69', '4zh4', '4qiw', '5c4j', '2ja5', '1smy', '1twf', '5g5l', '3gtm', '3s1n', '2e2h', '5ipl', '5iy7', '5x51', '4a3l', '3gtg', '1twg', '5fz5', '4zh2', '4a3g', '1i6h', '4xsx', '3fki', '2o5j', '3rzo', '5m3m', '1iw7', '1i50', '1sfo', '3gtq', '4x67', '1r9s', '4v1n', '2ppb', '3s1q', '3hou', '4wqs', '5m5w', '4y7n', '5fyw', '3hov', '5m3f', '4c3h', '4xsy', '5iy9', '3lu0', '2e2j', '3gtk', '5m5x', '5tbz', '1twc', '4g7o', '4bbs', '5n61', '5tmc', '3s17', '4a93', '2nvy', '2nvz', '4c2m', '3hkz', '2e2i', '5ip9', '4a3i', '5fj8', '3eql', '4lk1', '3s1m', '4a3b', '5c4x', '3h3v', '2cw0', '4a3e', '5iyc', '4ljz', '5m64', '5iyd', '4g7z', '4a3m', '3k7a', '4zh3', '3dxj', '2nvq', '4q4z', '2r7z', '4bxz', '5flm', '3gtp'}",0.172437025984286,294
712,ddi_num_2697,PF00498_PF00069,291.207342073167,"{'3i6w', '3i6u'}",0.165556323469415,143
713,ddi_num_2552,PF00941_PF00111,290.979131524282,"{'1jro', '1rm6', '1zxi', '2w3r', '5g5g', '1fo4', '4ytz', '1t3q', '1jrp', '3bdj', '3etr', '3una', '4uhw', '3nvv', '2ckj', '1n60', '3am9', '2w54', '3an1', '3ns1', '3eub', '3ax7', '3sr6', '3ax9', '3hrd', '1fiq', '3nvy', '1sb3', '4yrw', '1n5x', '3uni', '1n5w', '1n63', '4zoh', '3zyv', '1ffu', '3nvz', '2w3s', '2e1q', '4ysw', '1vdv', '5g5h', '1v97', '3unc', '1wyg', '4uhx', '2w55', '1n61', '3nrz', '1ffv', '5epg', '1n62', '3amz', '4yty', '3nvw', '2e3t', '3b9j'}",0.308747483374167,491
714,ddi_num_83,PF01835_PF07703,290.260169489545,"{'5fo7', '5hce', '2wii', '5jpm', '2i07', '5hcc', '4e0s', '4acq', '5fo8', '4u59', '4xam', '5foa', '5a42', '3ohx', '3pvm', '2qki', '4u48', '5o32', '2xwj', '5hcd', '2b39', '2ice', '5fo9', '3cu7', '5jtw', '4ziq', '2pn5', '5jpn', '2icf', '3prx', '3l3o', '4fxk', '4d94', '3kls', '3g6j', '5fob', '5i5k', '4lnv', '2a74', '3l5n', '2xwb', '3nms', '5m6w', '3t4a', '2a73', '4a5w', '2win', '4u4j', '5o35', '4fxg', '3km9'}",0.261851767915254,203
715,ddi_num_1763,PF00034_PF13442,289.991150481052,{'5lo9'},0.226502656783816,71
716,ddi_num_879,PF02310_PF02965,289.923561014872,"{'3iv9', '1k98', '3bul', '1k7y', '3iva'}",0.18502065110463,215
717,ddi_num_2118,PF10370_PF01557,289.675462443394,"{'3qdf', '4dbh', '4dbf', '3rr6', '4pfz', '2dfu'}",0.247197702626941,243
718,ddi_num_1904,PF16864_PF00891,289.261000568737,"{'4u1q', '4a6e', '4qvg', '5i2h', '4a6d', '2ip2', '4x3q', '3mcz'}",0.269185818927816,650
719,ddi_num_2953,PF14509_PF14508,288.08018607642,"{'2jkp', '5e1q', '3wfa', '2jka', '2jke', '2d73', '5hqb', '5hq4', '5hqa', '3a24', '2zq0', '5hqc'}",0.306847334900014,196
720,ddi_num_5025,PF00359_PF02302,287.786355179805,{'2few'},0.225366485034659,283
721,ddi_num_4890,PF13812_PF17177,286.226402516555,"{'4m59', '4oe1'}",0.339080890224959,58
722,ddi_num_1959,PF01068_PF04675,283.680292559084,"{'2hix', '3gde', '2cfm', '1x9n', '3rr5', '2hiv'}",0.119874121795136,55
723,ddi_num_70,PF00207_PF07703,283.54475783249,"{'3hrz', '2wii', '5hce', '2i07', '5jpm', '5hcc', '4e0s', '4acq', '5fo8', '4u59', '4xam', '5foa', '3hs0', '5a42', '3ohx', '3pvm', '2qki', '5o32', '2xwj', '5hcd', '2ice', '2b39', '5fo9', '3cu7', '5jtw', '4ziq', '2pn5', '5jpn', '3frp', '2icf', '3prx', '3l3o', '4fxk', '4d94', '3kls', '3g6j', '5fob', '5i5k', '4lnv', '2a74', '3l5n', '2xwb', '3nms', '5m6w', '3t4a', '2a73', '4a5w', '2win', '4u4j', '5o35', '4fxg', '3km9'}",0.425459004871124,884
724,ddi_num_246,PF01756_PF02770,283.077689243011,"{'5k3i', '1w07', '5k3j', '2fon', '1is2', '5k3h', '5k3g'}",0.198363551162115,210
725,ddi_num_5951,PF16925_PF00440,282.812133935051,"{'3rd3', '3bru', '4l62', '4yze'}",0.47185802930342,157
726,ddi_num_5551,PF04563_PF04565,281.898558237121,"{'5m5y', '3s16', '2nvt', '1hqm', '5n60', '2ja8', '5iy8', '5nsr', '2r92', '5uha', '5c3e', '4a3d', '5x4z', '5c44', '4llg', '4c3i', '4jk2', '5ezk', '5n5y', '5i2d', '2a6e', '1r9t', '5iyb', '4gzz', '4s20', '2yu9', '3s2d', '4lk0', '3wod', '4a3f', '3s2h', '5uhe', '3s1r', '5uac', '4xln', '4wqt', '4mq9', '1k83', '3i4n', '4oiq', '3po3', '4v1o', '3gto', '5tjg', '4mey', '5fja', '1ynj', '5iy6', '5uhd', '5tmf', '5x50', '3s15', '4xlq', '5my1', '5uh5', '4ylo', '5ipn', '4v1m', '3qt1', '4xlp', '5fmf', '3hoz', '4kmu', '4ylp', '5uh9', '1r5u', '5uhb', '5uah', '4gzy', '1zyr', '5ip7', '5lmx', '3m4o', '4yln', '5iya', '5e18', '3iyd', '3hoy', '5d4e', '5uhg', '4mex', '4a3j', '4yg2', '5sva', '2pmz', '5ipm', '4bbr', '3i4m', '1twh', '4xls', '3cqz', '1y1v', '5uaj', '4x6a', '5ui8', '5c4a', '5u0s', '2be5', '3k1f', '1i3q', '3gtl', '3s17', '4xsz', '5nss', '3rzd', '2y0s', '3hox', '1nik', '4yfx', '4jkr', '5w1t', '2a68', '3j0k', '5uh6', '3s14', '5e17', '4c3j', '3h0g', '2b63', '2nvx', '2a69', '4q5s', '5uhf', '4qiw', '5c4j', '4jk1', '5u5q', '2ja5', '4oio', '1smy', '1twf', '5g5l', '3gtm', '2o5i', '3s1n', '2e2h', '5fz5', '5ipl', '4a3l', '3gtg', '5iy7', '1twg', '5x51', '5uh8', '2b8k', '5d4c', '2r93', '4yfk', '4a3g', '1i6h', '5tw1', '3fki', '4y52', '2o5j', '5m3m', '1twa', '3rzo', '1iw7', '1i50', '1sfo', '3aoi', '3po2', '3gtq', '4x67', '5uag', '1r9s', '5flm', '2ppb', '3s1q', '3hou', '2ja7', '4wqs', '4oir', '5m5w', '4y7n', '3hov', '5vo8', '5fyw', '5m3f', '5fj9', '4c3h', '4yfn', '4xsy', '5iy9', '3lu0', '5n5z', '1y1w', '3gtk', '5m5x', '3aoh', '5tbz', '1twc', '4g7o', '4bbs', '5n61', '5tmc', '4a93', '2nvy', '2nvz', '4c2m', '3hkz', '2a6h', '2e2i', '1i6v', '5ip9', '1ynn', '4a3i', '5fj8', '1y77', '5vsw', '3s1m', '4kn7', '2gho', '4a3b', '3h3v', '5vi8', '2cw0', '5c4x', '5iyc', '4ljz', '5m64', '5byh', '4kn4', '5iyd', '4g7h', '5ual', '4g7z', '4a3m', '5w1s', '5ms0', '3k7a', '5uaq', '3dxj', '4zh3', '5d4d', '2nvq', '4q4z', '4xlr', '2r7z', '4bxz', '3eql', '4oin', '3gtp'}",0.19490873116709,361
727,ddi_num_3632,PF07885_PF02254,281.89464313562,"{'3rbz', '1lnq'}",0.214713795181844,166
728,ddi_num_4584,PF02896_PF01326,281.436811126781,"{'1jde', '1ggo', '1kbl', '2x0s', '1dik', '2dik', '2ols', '1kc7'}",0.13270965668742,214
729,ddi_num_178,PF07336_PF11706,280.799180602221,{'3h0n'},0.252754183761863,129
730,ddi_num_3258,PF00271_PF13234,280.395985991478,"{'4qu4', '2xgj'}",0.213560221433963,30
731,ddi_num_2864,PF01590_PF13185,280.289664389664,{'3ibj'},0.123888029105195,28
732,ddi_num_2194,PF16355_PF02836,279.963126712592,"{'4ypj', '4cuc', '4cu8', '4cu6', '4cu7', '5uj6', '3cmg', '5dmy'}",0.177785906338302,253
733,ddi_num_3646,PF01128_PF02542,279.831746031746,"{'1w57', '1w55'}",0.185406923009698,85
734,ddi_num_2425,PF10371_PF13484,279.512414676021,"{'2c3o', '2c3m', '1kek', '1b0p', '2c3p', '2c3u', '2c3y', '2uza', '2pda', '2c42'}",0.731227524496279,39
735,ddi_num_4187,PF00924_PF05552,279.407948353171,"{'4agf', '4age', '5aji', '2oau', '4hwa'}",0.478089862745707,159
736,ddi_num_4680,PF17147_PF01855,279.159538646918,"{'5c4i', '2c3o', '5b46', '2c3m', '5b47', '1kek', '1b0p', '5exe', '5exd', '2c3p', '2c3u', '4wbx', '2uza', '2pda', '2c3y', '2c42'}",0.269408824298083,628
737,ddi_num_4520,PF17092_PF00905,278.985965237321,"{'3ue0', '3udx', '5u2g', '3udf', '3udi', '4oon', '3ue1'}",0.202706925586388,88
738,ddi_num_2665,PF00373_PF09379,278.691665015267,"{'3u8z', '1ni2', '4yl8', '3qij', '1gg3', '3bin', '1j19', '2d2q', '4rm8', '2ems', '1gc7', '2i1k', '4p7i', '4zrj', '2he7', '4rm9', '4rma', '1e5w', '2yvc', '2i1j', '3wa0', '2d11', '4zri', '4zrk', '1h4r', '1sgh', '1isn', '1gc6', '3x23', '2zpy', '2d10', '2emt'}",0.203489402815857,578
739,ddi_num_1118,PF00168_PF00387,278.36597454918,"{'4qj3', '1dji', '4qj5', '1qat', '3ohm', '1djg', '1djy', '2zkm', '4qj4', '1djw', '1djz', '1qas', '2fju', '1djx', '1djh', '4gnk', '2isd'}",0.447377230594186,171
740,ddi_num_3315,PF14520_PF14716,277.367674611516,"{'2w9m', '3auo', '3b0y', '3b0x', '3au6', '3au2'}",0.266878644385266,81
741,ddi_num_4500,PF08446_PF00360,277.334785631269,"{'3c2w', '5llw', '5llx', '5lly', '4r70', '3nhq', '4our'}",0.195221598079275,209
742,ddi_num_1854,PF00270_PF13234,277.253051575026,"{'5dzr', '4xgt', '4u4c', '4qu4', '5e02', '2xgj'}",0.171388431061989,58
743,ddi_num_1796,PF02733_PF02734,277.237697611342,"{'1un9', '3pnl', '1un8'}",0.150915451683706,489
744,ddi_num_69,PF00207_PF01835,276.406635943824,"{'5fo7', '5hce', '2wii', '2i07', '5jpm', '5hcc', '4e0s', '4acq', '5fo8', '4u59', '5foa', '4xam', '5a42', '3ohx', '3pvm', '2qki', '5o32', '2xwj', '5hcd', '2ice', '2b39', '5fo9', '3cu7', '5jtw', '4ziq', '2pn5', '5jpn', '2icf', '3prx', '3l3o', '4fxk', '4d94', '3kls', '3g6j', '5fob', '5i5k', '4lnv', '2a74', '3l5n', '2xwb', '3nms', '5m6w', '3t4a', '2a73', '4a5w', '2win', '4u4j', '5o35', '4fxg', '3km9'}",0.364775425091709,236
745,ddi_num_5576,PF00562_PF04560,276.257267352925,"{'5m5y', '5voi', '3s16', '2nvt', '1hqm', '5n60', '2ja8', '5iy8', '5nsr', '5uha', '5c3e', '5x4z', '4llg', '4c3i', '5c44', '4jk2', '5ezk', '5n5y', '5i2d', '2a6e', '1r9t', '5iyb', '4gzz', '4s20', '2yu9', '4lk0', '3s2d', '3wod', '5uhe', '3s2h', '3s1r', '5uac', '4xln', '4wqt', '4mq9', '1k83', '3i4n', '4oiq', '5tjg', '4mey', '5fja', '1ynj', '5iy6', '5uhd', '5tmf', '5x50', '5my1', '4xlq', '3s15', '5uh5', '4ylo', '5ipn', '3m3y', '3qt1', '4xlp', '3j1n', '5uh9', '4kmu', '4ylp', '3hoz', '1r5u', '5uhb', '4gzy', '1zyr', '5ip7', '5lmx', '3m4o', '4yln', '5iya', '5e18', '3iyd', '5d4e', '5uhg', '4mex', '4a3j', '5uhc', '4yg2', '2pmz', '5ipm', '4bbr', '3i4m', '1twh', '3cqz', '4xls', '5uaj', '1i3q', '4x6a', '5ui8', '3k1f', '2be5', '5u0s', '3gtl', '1y1v', '5c4a', '3rzd', '4xsz', '5nss', '2y0s', '3hox', '1nik', '4yfx', '4jkr', '5w1t', '2a68', '3j0k', '5e17', '4c3j', '3h0g', '2nvx', '2a69', '4q5s', '5uhf', '4oip', '4zh4', '4qiw', '5c4j', '5u5q', '4jk1', '4oio', '1smy', '1twf', '5g5l', '3gtm', '2o5i', '3s1n', '5ipl', '5iy7', '5fz5', '5x51', '5uh8', '1twg', '2e2h', '2b8k', '5d4c', '4a3l', '3gtg', '4yfk', '1i6h', '5tw1', '3fki', '2o5j', '5m3m', '3rzo', '1twa', '1iw7', '1i50', '1sfo', '3po2', '3aoi', '3gtq', '5uag', '1r9s', '5flm', '2ppb', '3hou', '3s1q', '2ja7', '4wqs', '4oir', '5m5w', '4y7n', '5fyw', '5vo8', '3hov', '5m3f', '5fj9', '4c3h', '4yfn', '4xsy', '5iy9', '3lu0', '5n5z', '5m5x', '3aoh', '5tbz', '1twc', '4g7o', '4a93', '5n61', '5tmc', '4bbs', '3s17', '2nvy', '2nvz', '4c2m', '3hkz', '2a6h', '2e2i', '1i6v', '5ip9', '1ynn', '4a3i', '5fj8', '5vsw', '4lk1', '3s1m', '4kn7', '2gho', '4a3b', '5vi8', '5c4x', '2cw0', '3h3v', '5iyc', '4ljz', '5byh', '5m64', '4kn4', '5iyd', '5w1s', '4g7z', '4a3m', '5ual', '3k7a', '5uaq', '3dxj', '5d4d', '2nvq', '4q4z', '4xlr', '4bxz', '3eql', '4oin'}",0.139412297999157,345
746,ddi_num_6049,PF13414_PF13424,276.086563521153,"{'2fi7', '1w3b', '5lcw', '2ho1'}",0.684720753803941,105
747,ddi_num_4265,PF13241_PF00590,274.399520602912,"{'1pjs', '1pjq', '1pjt'}",0.306226544749839,50
748,ddi_num_4910,PF00156_PF13793,272.523375772646,"{'3lrt', '3nag', '4twb', '3lpn', '3mbi'}",0.255482301885664,75
749,ddi_num_2555,PF00970_PF00042,272.430881902944,"{'4g1v', '3ozu', '1cqx', '3ozw', '1gvh', '4g1b', '3ozv'}",0.456502852487571,245
750,ddi_num_405,PF00171_PF01619,271.454391944537,"{'4nmc', '5kf6', '4nmb', '3haz', '4q73', '5ux5', '4nm9', '4q71', '5kf7', '4nmf', '4nmd', '4nme', '4nma', '4q72'}",0.191159930524365,363
